field,non_null_rate
bundle_id,1.0
candidate_id,1.0
candidate_type,1.0
manufacturer_code,1.0
hospital_code,1.0
drug_group,1.0
drug_group_source,1.0
cutoff_month,1.0
horizon,1.0
candidate_source,1.0
final_candidate_status,1.0
review_priority,1.0
human_review_required,1.0
auto_dispatch_allowed,1.0
churn_probability_H,1.0
churn_probability_interpretation,1.0
repeat_probability_H,0.0
repeat_probability_interpretation,1.0
value_at_risk_H,0.0
business_priority_score_H,0.0
business_priority_interpretation,1.0
survival_state,0.0029793302607930817
survival_confidence,0.0029793302607930817
survival_summary,1.0
demand_shape_label,1.0
demand_shape_route,1.0
label_confidence_weight,0.0
guardrail_summary,1.0
detector_evidence_list,1.0
detector_hit_count,1.0
strong_detector_hit_count,1.0
evidence_strength,1.0
evidence_timeline_available,1.0
evidence_timeline_reference,0.0
evidence_persistence_summary,1.0
allowed_claims,1.0
forbidden_claims,1.0
recommended_action_candidates,1.0
model_limitations_note,1.0
data_quality_note,1.0
user_visible_caveat,1.0
